,Date,MOTA (1.8,MEDIUM,TANDURI,VEHICLE
0,2012-01-01,52,50,48,170
1,2012-01-02,53,52,50,140
2,2012-01-03, , , , 
3,2012-01-04,52,52,50,150
4,2012-01-05,50,50,48,110
5,2012-01-06,50,50,48,110
6,2012-01-07,56,50,56,120
7,2012-01-08,56,55,55,160
8,2012-01-09,66,65,70,120
9,2012-01-10, , , , 
10,2012-01-11,62,62,60,160
11,2012-01-12,60,60,62,140
12,2012-01-13,60,58,60,120
13,2012-01-14,56,56,56,140
14,2012-01-15,60,57,60,130
15,2012-01-16,63,62,63,125
16,2012-01-17, , , , 
17,2012-01-18,65,62,65,140
18,2012-01-19,62,62,62,120
19,2012-01-20,62,62,62,100
20,2012-01-21,60,60,60,140
21,2012-01-22,62,60,58,160
22,2012-01-23,62,58,60,140
23,2012-01-24, , , , 
24,2012-01-25,66,65,66,195
25,2012-01-26, , , , 
26,2012-01-27,64,60,58,150
27,2012-01-28,68,66,65,125
28,2012-01-29,70,68,66,130
29,2012-01-30,70,68,66,120
30,2012-01-31, , , , 
0,2012-02-01,72,68,70,158
1,2012-02-02,68,68,70,120
2,2012-02-03,66,66,66,140
3,2012-02-04,64,64,63,155
4,2012-02-05,65,62,60,185
5,2012-02-06,68,67,65,135
6,2012-02-07, , , , 
7,2012-02-08,72,70,70,165
8,2012-02-09,75,73,70,145
9,2012-02-10,84,80,80,110
10,2012-02-11,85,80,78,135
11,2012-02-12,90,84,82,140
12,2012-02-13,88,84,82,150
13,2012-02-14, , , , 
14,2012-02-15,80,77,75,180
15,2012-02-16,76,72,70,140
16,2012-02-17,75,72,70,120
17,2012-02-18,73,70,70,145
18,2012-02-19,72,68,68,165
19,2012-02-20,72,68,70,85
20,2012-02-21, , , , 
21,2012-02-22,70,68,66,170
22,2012-02-23,70,67,68,115
23,2012-02-24,68,67,71,135
24,2012-02-25,75,72,76,135
25,2012-02-26,75,73,78,165
26,2012-02-27,80,77,78,130
27,2012-02-28, , , , 
28,2012-02-29,73,72,70,170
0,2012-03-01,78,76,78,90
1,2012-03-02,74,70,72,135
2,2012-03-03,73,72,75,125
3,2012-03-04,70,68,68,170
4,2012-03-05,68,66,65,165
5,2012-03-06, , , , 
6,2012-03-07,80,75,77,240
7,2012-03-08,78,70,78,200
8,2012-03-09,80,78,84,54
9,2012-03-10,70,70,67,180
10,2012-03-11,70,68,67,140
11,2012-03-12,70,68,65,125
12,2012-03-13, , , , 
13,2012-03-14,68,67,65,130
14,2012-03-15,66,64,63,110
15,2012-03-16,65,63,62,125
16,2012-03-17,60,58,60,142
17,2012-03-18,58,54,55,160
18,2012-03-19,58,55,54,135
19,2012-03-20, , , , 
20,2012-03-21,65,60,60,140
21,2012-03-22,68,65,64,96
22,2012-03-23,65,62,61,75
23,2012-03-24,60,57,56,80
24,2012-03-25,57,54,53,105
25,2012-03-26,60,55,53,45
26,2012-03-27, , , , 
27,2012-03-28,57,54,53,110
28,2012-03-29,56,52,54,70
29,2012-03-30,58,56,56,45
30,2012-03-31,60,58,64,105
0,2012-04-01,60,58,58,170
1,2012-04-02,53,53,53,170
2,2012-04-03, , , , 
3,2012-04-04,50,50,50,185
4,2012-04-05,55,54,58,1115
5,2012-04-06,54,53,55,130
6,2012-04-07,52,50,56,170
7,2012-04-08,48,48,50,200
8,2012-04-09,58,55,60,135
9,2012-04-10, , , , 
10,2012-04-11,50,52,54,200
11,2012-04-12,50,48,52,150
12,2012-04-13,46,45,46,150
13,2012-04-14,50,50,52,145
14,2012-04-15,54,52,58,155
15,2012-04-16,48,48,50,185
16,2012-04-17, , , , 
17,2012-04-18,46,45,48,190
18,2012-04-19,48,47,50,140
19,2012-04-20,45,43,46,150
20,2012-04-21,48,45,48,165
21,2012-04-22,48,45,48,165
22,2012-04-23,47,45,48,165
23,2012-04-24, , , , 
24,2012-04-25,48,46,50,175
25,2012-04-26,46,45,45,160
26,2012-04-27,48,46,48,115
27,2012-04-28,58,55,56,130
28,2012-04-29,70,68,72,130
29,2012-04-30,64,68,65,180
0,2012-05-01, , , , 
1,2012-05-02,62,57,62,190
2,2012-05-03,58,57,56,145
3,2012-05-04,55,52,52,150
4,2012-05-05,60,58,57,140
5,2012-05-06,60,58,57,170
6,2012-05-07,60,55,53,165
7,2012-05-08, , , , 
8,2012-05-09,65,55,52,170
9,2012-05-10,72,65,65,130
10,2012-05-11,70,67,65,125
11,2012-05-12,72,66,65,140
12,2012-05-13,76,72,70,145
